time,E,N,U
1733986209.000000,-0.616634,1.866679,0.560633
1733986210.000000,-0.767212,1.938538,0.630853
1733986211.000000,-0.727588,2.012776,0.274148
1733986212.000000,-0.734489,2.011878,-0.072165
1733986213.000000,-0.769585,2.019358,0.027173
1733986214.000000,-0.887651,1.976926,-0.093380
1733986215.000000,-0.736357,1.954336,0.003300
1733986216.000000,-0.807658,1.838739,0.066031
1733986217.000000,-0.801986,1.820880,-0.003495
1733986218.000000,-0.765630,1.818482,-0.363770
1733986219.000000,-0.553267,1.612130,0.070986
1733986220.000000,-0.355420,1.469488,-0.058484
1733986221.000000,-0.520961,1.366504,0.015586
1733986222.000000,-0.319769,1.319426,0.172137
1733986223.000000,-0.506767,1.397401,0.394516
1733986224.000000,-0.390711,1.424218,0.502929
1733986225.000000,-0.483085,1.189071,0.677534
1733986226.000000,-0.528864,0.912430,0.759807
1733986227.000000,-0.653721,0.893278,0.640683
1733986228.000000,-0.703285,0.996299,0.656679
1733986229.000000,-0.690622,0.989654,0.730486
1733986230.000000,-0.595597,0.878375,0.598853
1733986231.000000,-0.751583,0.999811,0.743465
1733986232.000000,-0.721153,1.001051,1.086495
1733986233.000000,-0.616198,0.989619,1.126765
1733986234.000000,-0.802597,1.252116,0.758015
1733986235.000000,-0.691951,1.259956,0.536407
1733986236.000000,-0.708476,1.355681,0.792742
1733986237.000000,-0.441444,1.362556,0.808868
1733986238.000000,-0.214949,1.414262,0.630676
1733986239.000000,-0.076667,1.731333,0.552036
1733986240.000000,-0.399721,1.966879,0.933499
1733986241.000000,-0.252716,2.095950,0.936125
1733986242.000000,-0.228083,2.180435,0.947487
1733986243.000000,-0.082855,2.186800,0.779208
1733986244.000000,0.000615,2.219725,0.721393
1733986245.000000,0.098633,2.188665,0.818725
1733986246.000000,0.069948,2.212146,1.136601
1733986247.000000,0.136914,2.196624,0.810475
1733986248.000000,0.034220,2.342966,0.929171
1733986249.000000,-0.288723,2.495848,0.831388
1733986250.000000,-0.439680,2.667640,0.774670
1733986251.000000,-0.503302,2.783253,1.107599
1733986252.000000,-0.645007,2.813467,1.184006
1733986253.000000,-0.605735,2.835300,1.149343
1733986254.000000,-0.659723,3.054603,1.111477
1733986255.000000,-0.657949,3.022502,1.187122
1733986256.000000,-0.542255,3.048772,0.907804
1733986257.000000,-0.476143,2.948504,0.702645
1733986258.000000,-0.480407,2.746011,0.979317
1733986259.000000,-0.435419,2.647663,0.978364
1733986260.000000,-0.405513,2.679230,1.114141
1733986261.000000,-0.535211,2.669869,1.312281
1733986262.000000,-0.549333,2.516952,1.719137
1733986263.000000,-0.549847,2.524697,1.578837
1733986264.000000,-0.480021,2.248497,1.916739
1733986265.000000,-0.229751,1.983632,2.104812
1733986266.000000,-0.190218,1.725564,2.567579
1733986267.000000,0.034179,1.646713,2.692671
1733986268.000000,0.408086,1.294873,2.497004
1733986269.000000,0.322078,1.225332,2.712087
1733986270.000000,0.305149,1.186955,2.992844
1733986271.000000,0.499599,1.169527,2.819219
1733986272.000000,0.426986,1.138233,2.594870
1733986273.000000,0.438678,1.078056,2.744690
1733986274.000000,0.509961,0.942821,2.838797
1733986275.000000,0.401972,0.894052,2.852569
1733986276.000000,0.267969,0.946652,2.897339
1733986277.000000,-0.038657,1.165891,2.910900
1733986278.000000,-0.289889,1.208340,2.656580
1733986279.000000,-0.108074,1.107621,2.454342
1733986280.000000,0.007526,1.005980,2.741473
1733986281.000000,-0.241726,1.063595,3.072535
1733986282.000000,-0.432083,1.157818,3.234811
1733986283.000000,-0.489476,1.176424,3.377757
1733986284.000000,-0.647079,1.226778,3.328006
1733986285.000000,-0.878086,1.228285,3.699314
1733986286.000000,-0.929140,1.334553,3.692692
1733986287.000000,-0.878402,1.251914,3.667634
1733986288.000000,-0.704435,1.220801,2.984692
1733986289.000000,-0.545029,1.146035,2.919304
1733986290.000000,-0.402388,1.064310,2.690297
1733986291.000000,-0.324498,0.995006,2.666451
1733986292.000000,-0.115208,0.821464,2.130760
1733986293.000000,-0.241537,0.876180,2.315248
1733986294.000000,-0.439821,0.965818,2.187587
1733986295.000000,-0.406736,1.128437,2.106639
1733986296.000000,-0.444152,1.295786,1.733663
1733986297.000000,-0.633952,1.520328,1.820685
1733986298.000000,-0.829559,1.635225,1.854722
1733986299.000000,-0.924058,1.651513,2.239397
1733986300.000000,-0.980781,1.938105,2.207004
1733986301.000000,-0.981229,2.088880,2.402863
1733986302.000000,-0.745029,2.080623,2.352057
1733986303.000000,-0.729934,2.113015,2.559315
1733986304.000000,-0.823374,2.245842,2.289726
1733986305.000000,-0.719763,2.219405,2.066814
1733986306.000000,-0.677837,2.244629,2.177213
1733986307.000000,-0.703993,2.401444,2.209832
1733986308.000000,-0.472405,2.475189,1.786436
1733986309.000000,-0.509981,2.272716,1.969446
1733986310.000000,-0.394201,2.274330,1.845312
1733986311.000000,-0.455790,2.404219,1.806408
1733986312.000000,-0.461577,2.456773,1.684891
1733986313.000000,-0.440763,2.513080,1.579123
1733986314.000000,-0.320284,2.539228,1.481158
1733986315.000000,-0.272887,2.602298,1.498198
1733986316.000000,-0.224907,2.648953,1.571939
1733986317.000000,-0.166504,2.668551,1.534596
1733986318.000000,-0.125295,2.747903,1.599996
1733986319.000000,-0.087891,2.795240,1.747147
