time,E,N,U
1733986049.000000,1.013191,3.157382,8.869237
1733986050.000000,1.132867,3.185758,8.312664
1733986051.000000,1.776548,3.154449,7.659363
1733986052.000000,1.701771,3.254324,6.668013
1733986053.000000,1.070285,3.159028,5.653714
1733986054.000000,0.608411,3.239380,4.789420
1733986055.000000,0.368451,3.357425,3.964875
1733986056.000000,0.393903,3.121731,3.222213
1733986057.000000,0.480559,2.797019,2.646633
1733986058.000000,0.397358,2.785256,2.140556
1733986059.000000,0.373136,2.798635,1.706151
1733986060.000000,0.400369,2.929052,1.412692
1733986061.000000,0.368601,3.187945,1.115425
1733986062.000000,-0.193849,2.974562,1.071921
1733986063.000000,-0.425690,2.394189,1.309146
1733986064.000000,-0.009153,2.225954,1.784926
1733986065.000000,0.272784,2.760510,2.267956
1733986066.000000,0.716226,2.807008,2.310895
1733986067.000000,1.060008,2.752761,2.531099
1733986068.000000,1.386493,2.733005,2.954109
1733986069.000000,1.129173,2.754672,3.181561
1733986070.000000,0.649413,3.037365,3.324423
1733986071.000000,0.381992,3.103712,3.427954
1733986072.000000,-0.058088,2.754318,3.583744
1733986073.000000,0.104616,1.931013,3.576299
1733986074.000000,0.456778,1.573942,3.583621
1733986075.000000,0.289689,1.582641,3.735060
1733986076.000000,-0.011010,1.784385,3.726571
1733986077.000000,-0.157338,2.010128,3.725030
1733986078.000000,-0.330906,2.291191,3.740624
1733986079.000000,0.008904,2.553146,3.787563
1733986080.000000,0.308693,2.852515,3.781846
1733986083.000000,0.762502,3.440584,4.438779
1733986084.000000,0.802480,3.534799,4.925229
1733986085.000000,0.075321,3.169330,5.404997
1733986086.000000,-1.122876,2.912072,5.653841
1733986087.000000,-1.944460,2.580655,6.021205
1733986088.000000,-2.031474,2.180139,6.257487
1733986089.000000,-1.519682,1.774423,6.482287
1733986090.000000,-0.985080,1.528790,6.768218
1733986091.000000,-0.257220,1.467437,6.945311
1733986092.000000,0.080896,1.548016,6.908836
1733986093.000000,0.090030,2.016169,6.946098
1733986094.000000,0.316795,2.389170,6.918082
1733986095.000000,0.307835,2.652370,6.760145
1733986096.000000,0.416010,2.785674,6.767812
1733986097.000000,0.599493,2.754314,6.582983
1733986098.000000,0.554036,2.810498,6.332933
1733986099.000000,0.527160,2.691158,6.155251
1733986100.000000,0.642287,2.602239,6.151611
1733986101.000000,0.796550,2.474426,6.417854
1733986102.000000,0.705056,2.805688,6.618713
1733986103.000000,0.378858,3.274370,6.541594
1733986104.000000,-0.032197,3.559918,6.318724
1733986105.000000,-0.315393,3.782115,6.237320
1733986106.000000,-0.283522,3.697313,6.136309
1733986107.000000,-0.136268,3.587143,6.107310
1733986108.000000,-0.128301,3.522443,5.936161
1733986109.000000,-0.234133,3.783387,5.827410
1733986110.000000,-0.118133,3.947972,5.631863
1733986111.000000,-0.028017,4.362094,5.593611
1733986112.000000,-0.627760,5.277240,5.766065
1733986113.000000,-1.582411,6.140286,5.897203
1733986114.000000,-1.511822,6.098791,5.955156
1733986115.000000,-0.693271,5.712606,5.930444
1733986116.000000,-0.389320,4.941599,6.008949
1733986117.000000,-0.290764,4.029182,5.975415
1733986118.000000,-0.187157,3.187261,5.834660
1733986119.000000,-0.376800,3.080339,5.843391
1733986120.000000,-0.986511,3.713415,5.867782
1733986121.000000,-1.302413,4.134603,6.086712
1733986122.000000,-1.426928,4.024530,6.284177
1733986123.000000,-1.094510,3.466034,6.380027
1733986124.000000,-0.423397,2.479885,6.415641
1733986125.000000,0.286334,2.013601,6.556642
1733986126.000000,0.676628,2.131818,6.501745
1733986127.000000,0.607377,2.609236,6.370302
1733986128.000000,0.631326,2.792778,6.309566
1733986129.000000,0.777074,3.188082,6.267369
1733986130.000000,0.857894,3.193375,6.589719
1733986131.000000,1.840143,2.463086,7.266982
1733986132.000000,2.675516,1.764090,7.507935
1733986133.000000,2.642379,1.511981,7.705904
1733986134.000000,1.315272,1.467597,7.582585
1733986135.000000,0.118280,1.842339,7.354161
1733986136.000000,-0.372389,1.971733,6.997882
1733986137.000000,-0.234844,2.405233,6.939013
1733986138.000000,0.458964,2.790481,6.811107
1733986139.000000,0.873377,3.198485,6.597635
1733986140.000000,1.177632,3.271845,6.144625
1733986143.000000,1.145225,3.422268,4.174868
1733986144.000000,0.994245,3.404280,3.584860
1733986145.000000,0.785705,3.214590,3.138151
1733986146.000000,0.596867,3.070856,2.755974
1733986147.000000,0.375768,2.907562,2.525695
1733986148.000000,0.164501,2.837137,2.301581
1733986149.000000,0.149197,2.776765,2.108121
1733986150.000000,0.001804,2.771397,1.897818
1733986151.000000,-0.050079,2.775082,1.837308
1733986152.000000,-0.065054,2.867681,1.800931
1733986153.000000,-0.000606,2.909629,1.864486
1733986154.000000,0.153673,2.903894,1.974173
1733986155.000000,0.253782,2.893942,2.104854
1733986156.000000,0.204008,2.932438,2.203813
1733986157.000000,0.057095,3.141503,2.478641
1733986158.000000,-0.092497,3.290858,2.735349
1733986159.000000,-0.217264,3.492212,2.901920
1733986160.000000,-0.250086,3.553142,3.062974
1733986161.000000,-0.385267,3.576061,3.375066
1733986162.000000,-0.394277,3.542851,3.719154
1733986163.000000,-0.327711,3.621026,4.002780
1733986164.000000,-0.408051,3.662922,4.202214
1733986165.000000,-0.624141,3.916050,4.412781
1733986166.000000,-0.795564,3.989055,4.650411
1733986167.000000,-0.785091,3.815790,4.794539
1733986168.000000,-0.556006,3.329614,4.868277
1733986169.000000,-0.342181,2.905152,4.963853
1733986170.000000,-0.181140,2.475292,5.106636
1733986171.000000,-0.026536,2.280200,5.282061
1733986172.000000,0.048488,2.259125,5.396406
1733986173.000000,0.043738,2.410742,5.463255
1733986174.000000,0.047509,2.530133,5.553494
1733986175.000000,-0.058021,2.704220,5.593475
1733986176.000000,-0.104446,2.672409,5.640250
1733986177.000000,-0.119697,2.537159,5.583210
1733986178.000000,0.000192,2.528936,5.509815
1733986179.000000,0.134328,2.534996,5.381547
1733986180.000000,0.151855,2.428298,5.200408
1733986181.000000,0.121411,2.174135,5.161022
1733986182.000000,0.059481,1.923964,5.166774
1733986183.000000,0.129957,1.807093,5.185608
1733986184.000000,0.071361,2.022361,5.234057
1733986185.000000,-0.021151,2.495573,5.255792
1733986186.000000,-0.036362,2.550263,5.368963
1733986187.000000,-0.159257,2.175454,5.397169
1733986188.000000,-0.497445,1.776799,5.365779
1733986189.000000,-0.577628,1.505739,5.459694
1733986190.000000,-0.040489,1.517289,5.608946
1733986191.000000,0.567746,1.959632,5.643763
1733986192.000000,0.764835,2.317516,5.497429
1733986193.000000,0.460202,2.571434,5.405284
1733986194.000000,0.108946,2.629293,5.395086
1733986195.000000,-0.109688,2.666825,5.275912
1733986196.000000,-0.122516,2.717096,5.065063
1733986197.000000,-0.109614,2.766490,4.596731
1733986198.000000,-0.076812,2.832687,4.005789
1733986199.000000,-0.008557,2.924279,3.303993
1733986200.000000,0.134364,2.949779,2.777978
1733986202.000000,0.170037,3.015965,1.482119
1733986203.000000,0.219164,2.961132,1.115305
1733986204.000000,0.055450,2.906087,0.779124
1733986205.000000,-0.226044,3.029350,0.440710
1733986206.000000,-0.394264,3.104186,0.248971
1733986207.000000,-0.603453,3.248887,0.269073
1733986208.000000,-0.765761,3.257664,0.524751
1733986209.000000,-0.847022,3.237252,0.938457
1733986210.000000,-0.959597,3.216003,1.444469
1733986211.000000,-1.020272,3.161609,2.091899
1733986212.000000,-1.049192,2.938545,2.790941
1733986213.000000,-1.127528,2.851533,3.608020
1733986214.000000,-1.077935,2.733662,4.512442
1733986215.000000,-0.940414,2.632209,5.361605
1733986216.000000,-0.874575,2.590980,5.902798
1733986217.000000,-0.795012,2.531565,6.162844
1733986218.000000,-0.673903,2.481538,6.273976
1733986219.000000,-0.454415,2.473616,6.203648
1733986220.000000,-0.208504,2.484417,6.051393
1733986221.000000,-0.131170,2.365594,5.820960
1733986222.000000,-0.003661,2.322982,5.717929
1733986223.000000,0.005099,2.393364,5.442582
1733986224.000000,0.070848,2.443536,5.172937
1733986225.000000,0.157340,2.494516,4.753913
1733986226.000000,0.263175,2.449393,4.300271
1733986227.000000,0.304684,2.410124,3.846667
1733986228.000000,0.318278,2.455957,3.533418
1733986229.000000,0.428752,2.411630,3.157119
1733986230.000000,0.658608,2.342946,2.815256
1733986231.000000,0.750678,2.370483,2.452316
1733986232.000000,0.794480,2.526920,2.081535
1733986233.000000,0.877911,2.615059,1.810008
1733986234.000000,0.853083,2.723067,1.525128
1733986235.000000,0.832615,2.810025,1.261601
1733986236.000000,0.837253,2.940472,1.112803
1733986237.000000,0.931690,2.954108,1.014464
1733986238.000000,1.035420,2.991976,1.008634
1733986239.000000,1.215984,2.985784,1.081624
1733986240.000000,1.119828,3.161845,1.075794
1733986241.000000,1.068688,3.332716,1.085221
1733986242.000000,1.023057,3.361905,1.144668
1733986243.000000,1.076038,3.314157,1.252541
1733986244.000000,1.029543,3.268045,1.380244
1733986245.000000,0.929196,3.322611,1.580189
1733986246.000000,0.884841,3.275497,1.740463
1733986247.000000,0.934766,3.212743,1.814231
1733986248.000000,0.928480,3.245679,1.836575
1733986249.000000,0.843558,3.270800,1.795783
1733986250.000000,0.821537,3.321265,1.776054
1733986251.000000,0.877287,3.324228,1.701859
1733986252.000000,0.905546,3.273395,1.686783
1733986253.000000,0.908285,3.261266,1.697947
1733986254.000000,0.926854,3.307181,1.650893
1733986255.000000,0.988945,3.355235,1.557396
1733986256.000000,1.157573,3.407647,1.489112
1733986257.000000,1.250584,3.404448,1.498655
1733986258.000000,1.286305,3.365421,1.390050
1733986259.000000,1.313202,3.251081,1.202572
1733986260.000000,1.234934,3.321744,1.070032
1733986261.000000,1.084367,3.432089,1.007944
1733986262.000000,1.043269,3.463979,0.967554
1733986263.000000,0.990798,3.517287,0.913219
1733986264.000000,0.989606,3.439334,0.894474
1733986265.000000,1.113941,3.265753,1.040908
1733986266.000000,1.175357,3.150052,1.189992
1733986267.000000,1.171254,3.170796,1.500058
1733986268.000000,1.256086,3.082871,1.733478
1733986269.000000,1.201078,3.024518,1.925605
1733986270.000000,1.109612,3.017248,2.088989
1733986271.000000,1.107983,3.031917,2.210067
1733986272.000000,1.097160,2.983489,2.352312
1733986273.000000,1.100164,2.941442,2.455310
1733986274.000000,1.066804,2.865956,2.512792
1733986275.000000,0.917215,2.800867,2.522012
1733986276.000000,0.811695,2.696856,2.517365
1733986277.000000,0.689469,2.696137,2.382660
1733986278.000000,0.518874,2.747456,2.301532
1733986279.000000,0.541313,2.739254,2.504488
1733986280.000000,0.534626,2.581668,2.896019
1733986281.000000,0.430706,2.435457,3.523677
1733986282.000000,0.258861,2.343138,4.305869
1733986283.000000,0.124418,2.307659,5.324939
1733986284.000000,-0.030946,2.212951,6.197237
1733986285.000000,-0.225437,2.107634,6.850457
1733986286.000000,-0.353030,2.125275,7.321759
1733986287.000000,-0.354030,2.053124,7.668021
1733986288.000000,-0.323423,1.869568,7.984646
1733986289.000000,-0.297808,1.778890,8.286537
1733986290.000000,-0.290411,1.767947,8.479542
1733986291.000000,-0.295474,1.731511,8.670352
1733986292.000000,-0.228611,1.636122,8.703425
1733986293.000000,-0.256038,1.576364,8.636511
1733986294.000000,-0.333251,1.632222,8.688007
1733986295.000000,-0.334038,1.801304,8.864218
1733986296.000000,-0.332206,1.963916,9.017624
1733986297.000000,-0.414977,2.135631,9.188598
1733986298.000000,-0.444546,2.171985,9.350759
1733986299.000000,-0.366266,2.251202,9.503641
1733986300.000000,-0.381351,2.394708,9.445718
1733986301.000000,-0.344377,2.631535,9.283769
1733986302.000000,-0.227426,2.663582,9.228428
1733986303.000000,-0.152545,2.628055,9.129090
1733986304.000000,-0.177328,2.660903,8.874390
1733986305.000000,-0.168078,2.716391,8.677817
1733986306.000000,-0.128994,2.657339,8.498045
1733986307.000000,-0.123997,2.743803,8.325101
1733986308.000000,-0.149985,2.845704,8.000929
1733986309.000000,-0.216366,2.814491,7.761272
1733986310.000000,-0.249589,2.873663,7.580441
1733986311.000000,-0.281437,2.910364,7.376408
1733986312.000000,-0.278880,2.941297,7.129176
1733986313.000000,-0.259510,2.945441,6.955239
1733986314.000000,-0.212800,2.964927,6.808298
1733986315.000000,-0.154063,2.995414,6.627113
1733986316.000000,-0.107492,3.028448,6.403452
1733986317.000000,-0.056535,3.061592,6.171186
1733986318.000000,-0.017607,3.118588,6.012418
1733986319.000000,0.024676,3.156425,5.915665
1733986320.000000,0.053629,3.175696,5.857100
1733986322.000000,0.180725,3.159063,6.064588
1733986323.000000,0.216388,3.170829,5.977476
1733986324.000000,0.253482,3.180378,5.953487
1733986325.000000,0.294748,3.219598,5.964918
1733986326.000000,0.355898,3.257004,5.871019
1733986327.000000,0.394090,3.259516,5.817702
1733986328.000000,0.409628,3.255739,5.734224
1733986329.000000,0.401229,3.237137,5.665988
1733986330.000000,0.375344,3.223842,5.661239
1733986331.000000,0.344739,3.258115,5.704042
1733986332.000000,0.319102,3.278327,5.775080
1733986333.000000,0.295050,3.281119,5.856898
1733986334.000000,0.275802,3.254875,5.977959
1733986335.000000,0.236968,3.237937,6.061655
1733986336.000000,0.202523,3.227332,6.071536
1733986337.000000,0.213544,3.233982,5.887654
1733986338.000000,0.344767,3.286014,5.600265
1733986339.000000,0.421463,3.271251,5.196259
1733986340.000000,0.329185,3.222150,4.554299
1733986341.000000,0.198383,3.184353,3.843478
1733986342.000000,0.117500,3.264166,3.133682
1733986343.000000,0.054412,3.383231,2.552506
1733986344.000000,-0.033597,3.409026,2.017043
1733986345.000000,-0.172906,3.272880,1.427768
1733986346.000000,-0.114419,3.070387,1.071269
1733986347.000000,0.064947,2.594342,0.832020
1733986348.000000,0.326445,2.327515,0.732153
1733986349.000000,0.376411,2.324831,0.841330
1733986350.000000,0.296764,2.488125,0.982079
1733986351.000000,0.165113,2.577164,1.235119
1733986352.000000,0.046071,2.651487,1.533240
1733986353.000000,-0.053669,2.687679,1.936659
1733986354.000000,-0.127278,2.795990,2.349699
1733986355.000000,-0.133321,2.810211,2.890503
1733986356.000000,-0.123764,2.843971,3.365693
1733986357.000000,-0.072606,2.893073,3.734424
1733986358.000000,-0.037871,2.885254,4.063507
1733986359.000000,-0.042511,2.831668,4.304003
1733986360.000000,-0.007744,2.762592,4.565650
1733986361.000000,0.023032,2.701488,4.838041
1733986362.000000,0.072389,2.711294,5.068088
1733986363.000000,0.101926,2.824168,5.183362
1733986364.000000,0.113891,2.822451,5.288684
1733986365.000000,0.152509,2.752605,5.512585
1733986366.000000,0.252897,2.753732,5.723655
1733986367.000000,0.238275,2.704153,5.891280
1733986368.000000,0.240222,2.677531,5.962757
