epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
21,train,2206,379375.005068552,1334568175.00507,-2399702.642386218,5383206.394057886,2429707.938313248,0.0,0.0,0.0,0,-20568.941482512422,-574.2111642335914,2:4.793759;3:0.000000;6:0.000000,,8,0,3.123639911903725,1.0,22.5395176993484,114.026173000332,5.39110489994289,22.53956634222694,114.02615171152874,9.356769409961998,-2.1899177066429862,5.386604908063127,3.965661847742564,7.0383041912153255,1
22,train,2206,379375.505069509,1334568175.50507,-2399702.7571409205,5383206.504962145,2429708.0100330804,0.0,0.0,0.0,0,-20855.888187472337,-574.1959894597392,2:4.706088;3:0.000000;6:0.000000,,8,0,3.1239481472979156,1.0,22.5395176081161,114.026172846885,5.3841730531679,22.53956642804186,114.02615229147362,9.520973053760827,-2.1144758556951664,5.406210855459639,4.13679734609208,7.12819866731013,1
23,train,2206,379376.005070466,1334568176.00507,-2399702.862463751,5383206.66243842,2429708.081269873,0.0,0.0,0.0,0,-21142.894913154705,-574.1910893070337,2:4.539920;3:0.000000;6:0.000000,,8,0,3.124256345699032,1.0,22.5395175055682,114.026172700306,5.38283571828623,22.539566375878184,114.0261526033381,9.720732467249036,-2.0673171623226874,5.411790456700714,4.337894107049976,7.2373062309708684,1
24,train,2206,379376.505071423,1334568176.50507,-2399702.936722346,5383206.767509833,2429708.1460039984,0.0,0.0,0.0,0,-21429.96276640828,-574.1938501782201,2:4.294044;3:0.000000;6:0.000000,,8,0,3.1245645197064538,1.0,22.5395174588236,114.026172500897,5.37633122832718,22.53956647894366,114.02615284680371,9.862109105102718,-2.0217599710128153,5.428380208694343,4.485775233301619,7.326459207163879,1
25,train,2206,379377.005072383,1334568177.00507,-2399703.120879862,5383206.8509561075,2429708.164788666,0.0,0.0,0.0,0,-21716.968199701627,-574.1879388211069,2:4.153498;3:0.000000;6:0.000000,,8,0,3.124872677428965,1.0,22.539517393933,114.026172302479,5.37345173740879,22.539566112246998,114.02615415165798,10.008957363665104,-1.8671227303860252,5.394958976017397,4.6355030588540025,7.353884568843847,1
26,train,2206,379377.505073342,1334568177.50507,-2399703.1790983495,5383207.0353858415,2429708.212894601,0.0,0.0,0.0,0,-22004.00350048958,-574.1867584062517,2:3.977816;3:0.000000;6:0.000000,,8,0,3.125180819221626,1.0,22.5395174477969,114.026172147888,5.36843997965338,22.53956584833012,114.02615393859854,10.20487423054874,-1.8731372713806436,5.359768798164713,4.836431713412413,7.458340065035695,1
27,train,2206,379378.005074302,1334568178.00507,-2399703.2442407203,5383208.102643309,2429707.933837806,0.0,0.0,0.0,0,-22290.956161789218,-574.1860847334999,2:3.684337;3:0.000000;6:0.000000,,9,0,2.8244083620127203,1.0,22.5395174976501,114.026171997612,5.36669604316035,22.539560054774917,114.02615029273747,11.022733525373042,-2.232718440011442,4.7126832467156685,5.6560353422555,7.693188598304669,1
28,train,2206,379378.505075261,1334568178.50508,-2399702.899818451,5383208.275732799,2429708.4042485156,0.0,0.0,0.0,0,-22578.11134368022,-574.1970427614061,2:3.388092;3:0.000000;6:22.969273,,13,0,2.2252512450644297,1.0,22.539517641816,114.026171945495,5.37115057845622,22.539563916438627,114.02614654950698,11.219547933898866,-2.6124127488676683,5.124351057318384,5.8483947530651825,8.202889449259128,1
29,train,2206,379379.005076219,1334568179.00508,-2399702.879959271,5383208.218068021,2429708.6133090113,0.0,0.0,0.0,0,-22865.198764661298,-574.1986221634718,2:3.204005;3:0.000000;6:22.612280,,13,0,2.2253963156122265,1.0,22.5395177951724,114.026171897096,5.36809833147957,22.539565870422237,114.02614660141704,11.243571578525007,-2.6020942169968095,5.323748608295138,5.875470483520836,8.344719705369211,1
30,train,2206,379379.505077176,1334568179.50508,-2399703.115190629,5383208.016303431,2429708.8282005577,0.0,0.0,0.0,0,-23152.031980572847,-574.177623816998,2:3.004043;3:0.000000;6:22.799941,,13,0,2.2255414218750285,1.0,22.5395178929406,114.026171798951,5.37736311045617,22.53956796911095,114.02614948863649,11.24419642612338,-2.2949982693650632,5.5453261385582575,5.866830478779027,8.392696760046595,1
31,train,2206,379380.005078135,1334568180.00508,-2399703.1680417326,5383208.020538591,2429709.042282425,0.0,0.0,0.0,0,-23439.02802048787,-574.1729345755317,2:2.792235;3:0.000000;6:22.789583,,13,0,2.22568654075688,1.0,22.539518002058,114.026171703568,5.38333621985763,22.53956966679606,114.02614994113969,11.349706155247986,-2.238638792782945,5.721240751076616,5.966366964045286,8.563973033936023,1
