epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
21,train,2206,379375.005068552,1334568175.00507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1236398128713043,1.0,22.5395176993484,114.026173000332,5.39110489994289,22.539598146203613,114.02618161212838,8.754807220771909,0.8858703344008768,8.908505963984382,3.363696004804502,9.563508538839425,1
22,train,2206,379375.505069509,1334568175.50507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.123948048684661,1.0,22.5395176081161,114.026172846885,5.3841730531679,22.539598146203613,114.02618161212838,8.754807220771909,0.9016549782287266,8.918608827558554,3.3706278344639653,9.576831267033645,1
23,train,2206,379376.005070466,1334568176.00507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.124256263533335,1.0,22.5395175055682,114.026172700306,5.38283571828623,22.539598146203613,114.02618161212838,8.754807220771909,0.9167331322916887,8.929964754737897,3.3719651527421934,9.589307542675336,1
24,train,2206,379376.505071423,1334568176.50507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1245644573404636,1.0,22.5395174588236,114.026172500897,5.37633122832718,22.539598146203613,114.02618161212838,8.754807220771909,0.9372457536664207,8.935141148601044,3.3784696313950433,9.59839747033055,1
25,train,2206,379377.005072383,1334568177.00507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1248726300317977,1.0,22.539517393933,114.026172302479,5.37345173740879,22.539598146203613,114.02618161212838,8.754807220771909,0.9576564332078998,8.942326990995907,3.381349109166286,9.608113220399623,1
26,train,2206,379377.505073342,1334568177.50507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1251807815273485,1.0,22.5395174477969,114.026172147888,5.36843997965338,22.539598146203613,114.02618161212838,8.754807220771909,0.9735587580619602,8.93636222296725,3.3863608736099673,9.605926629003148,1
27,train,2206,379378.005074302,1334568178.00507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,9,2.824408363625474,1.0,22.5395174976501,114.026171997612,5.36669604316035,22.539598146203613,114.02618161212838,8.754807220771909,0.9890172114149975,8.930841591914184,3.38810481610704,9.602986037127572,1
28,train,2206,379378.505075261,1334568178.50508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,4,13,2.2252512148689,1.0,22.539517641816,114.026171945495,5.37115057845622,22.539598764632355,114.02618149449164,8.905747724696994,0.9822774077528251,8.983360618231595,3.5345907128080754,9.703554421450166,1
29,train,2206,379379.005076219,1334568179.00508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.2253962960928364,1.0,22.5395177951724,114.026171897096,5.36809833147957,22.539598764632355,114.02618149449164,8.905747724696994,0.9872560699705768,8.966378271590056,3.5376429811719063,9.689454665726595,1
30,train,2206,379379.505077176,1334568179.50508,-2399704.710671393,5383203.509156057,2429711.081560419,0.0,0.0,0.0,0,-14943.26372627916,0.0,2:-1028.966777;3:0.000000;6:-7610.204273,,0,13,2.225541414457633,1.0,22.5395178929406,114.026171798951,5.37736311045617,22.539598764632355,114.02618149449164,8.905747724696994,0.997351960615641,8.955551639113619,3.5283782154570957,9.677089899628228,1
