time,E,N,U
1733987195.000000,-0.159255,2.434165,6.474105
1733987196.000000,-0.061486,2.633675,6.291927
1733987197.000000,0.020436,2.746509,6.150617
1733987198.000000,0.081316,2.694857,6.004403
1733987199.000000,0.017811,2.759424,5.781538
1733987200.000000,-0.032787,2.810136,5.491708
1733987201.000000,0.032179,2.659159,5.250137
1733987202.000000,0.145039,2.644844,5.115604
1733987203.000000,-0.032842,2.801832,4.989621
1733987204.000000,-0.178825,3.096756,4.787911
1733987205.000000,-0.306801,3.214696,4.561643
1733987206.000000,-0.237862,3.120068,4.333386
1733987207.000000,-0.103916,2.939575,4.003113
1733987208.000000,0.006768,2.784242,3.671740
1733987209.000000,0.037414,2.587311,3.505523
1733987210.000000,-0.034125,2.486290,3.452368
1733987211.000000,-0.139728,2.423307,3.336154
1733987212.000000,-0.182578,2.358278,3.361073
1733987213.000000,-0.158624,2.294681,3.457909
1733987214.000000,-0.110437,2.298458,3.484298
1733987215.000000,-0.086100,2.343762,3.476200
1733987216.000000,0.011693,2.591886,3.357282
1733987217.000000,0.068083,2.564039,3.208580
1733987218.000000,0.174684,2.370778,3.151045
1733987219.000000,0.048974,1.983092,3.086005
1733987220.000000,-0.143646,1.565127,3.050428
1733987221.000000,-0.229462,1.281098,2.985437
1733987222.000000,-0.329737,1.250180,2.910797
1733987223.000000,-0.544374,1.299901,2.899821
1733987224.000000,-0.793868,1.444251,2.881994
1733987225.000000,-1.099416,1.665717,2.822352
1733987226.000000,-1.355437,1.884421,2.690526
1733987227.000000,-1.591051,2.061294,2.568140
1733987228.000000,-1.559458,2.347288,2.507868
1733987229.000000,-1.337190,2.506605,2.526298
1733987230.000000,-1.113039,2.562024,2.493292
1733987231.000000,-0.864260,2.710047,2.446821
1733987232.000000,-0.686315,2.814932,2.495249
1733987233.000000,-0.478873,2.910324,2.615408
1733987234.000000,-0.261455,2.954344,2.718753
1733987235.000000,-0.179959,3.071530,2.836525
1733987236.000000,-0.197161,3.167233,2.954333
1733987237.000000,-0.212459,3.229258,3.096387
1733987238.000000,-0.183168,3.118968,3.279591
1733987239.000000,-0.148308,3.006235,3.408430
1733987240.000000,-0.125564,2.882460,3.455668
1733987241.000000,-0.003082,2.766813,3.478105
1733987242.000000,0.072501,2.644972,3.507562
1733987243.000000,0.027431,2.598222,3.476015
1733987244.000000,-0.040543,2.500523,3.368067
1733987245.000000,-0.019093,2.393752,3.271600
1733987246.000000,-0.001057,2.447373,3.101939
1733987247.000000,-0.051252,2.502152,3.012762
1733987248.000000,-0.008000,2.573365,2.896383
1733987249.000000,0.021130,2.642198,2.841250
1733987250.000000,0.062861,2.665310,2.749974
1733987251.000000,-0.006800,2.705177,2.745867
1733987252.000000,0.034507,2.858619,2.810721
1733987253.000000,0.103106,2.881172,2.970620
1733987254.000000,0.035813,2.855428,3.052784
1733987255.000000,0.006876,2.839733,3.110627
1733987256.000000,-0.033667,2.913447,3.141803
1733987257.000000,-0.049569,2.968037,3.199507
1733987258.000000,-0.021555,3.011444,3.386004
1733987259.000000,0.041211,3.091704,3.548876
1733987260.000000,0.142872,3.145601,3.719677
1733987261.000000,0.274190,3.119105,3.820045
1733987262.000000,0.362533,3.160876,3.992758
1733987263.000000,0.422604,3.100738,4.172353
1733987264.000000,0.415884,3.036877,4.378396
1733987265.000000,0.372060,3.079788,4.535961
1733987266.000000,0.374904,3.082082,4.585755
1733987267.000000,0.385795,3.137564,4.887184
1733987268.000000,0.432806,3.110621,5.111686
1733987269.000000,0.473027,3.114295,5.249383
1733987270.000000,0.469383,3.135526,5.373882
1733987271.000000,0.377868,3.196077,5.411310
1733987272.000000,0.399908,3.176046,5.516707
1733987273.000000,0.460397,3.128663,5.570378
1733987274.000000,0.571936,3.067922,5.577603
1733987275.000000,0.625196,2.987911,5.549571
1733987276.000000,0.644156,2.930467,5.472477
1733987277.000000,0.790748,2.765241,5.499607
1733987278.000000,0.904777,2.669071,5.369921
1733987279.000000,0.797601,2.627661,5.247301
1733987280.000000,0.655650,2.573142,5.127123
1733987283.000000,0.616835,2.362700,5.157092
1733987284.000000,0.210938,2.514266,4.945739
1733987285.000000,-0.237415,2.679073,4.919318
1733987286.000000,-0.439058,2.657680,4.805966
1733987287.000000,-0.343711,2.551858,4.660848
1733987288.000000,-0.345278,2.404434,4.483218
1733987289.000000,-0.289529,2.264037,4.256119
1733987290.000000,-0.102726,2.308030,4.100635
1733987291.000000,0.051103,2.266396,4.050864
1733987292.000000,0.000483,2.433556,3.924228
1733987293.000000,0.059947,2.428137,3.874627
1733987294.000000,-0.017499,2.378295,3.803930
1733987295.000000,0.002390,2.223889,3.704936
1733987296.000000,-0.037500,2.303889,3.555113
1733987297.000000,-0.146474,2.311826,3.382411
1733987298.000000,-0.273722,2.523855,3.104933
1733987299.000000,-0.208585,2.371541,3.108519
1733987300.000000,0.058552,2.270225,3.029914
1733987301.000000,0.274901,2.117019,2.964728
1733987302.000000,0.483111,2.029208,2.914483
1733987303.000000,0.522333,1.996731,3.014752
1733987304.000000,0.455573,2.016482,3.139125
1733987305.000000,0.434536,2.022913,3.236675
1733987306.000000,0.407329,2.027530,3.317971
1733987307.000000,0.327070,2.046604,3.387411
1733987308.000000,0.232049,2.101347,3.491898
1733987309.000000,0.183326,2.176236,3.532145
1733987310.000000,0.149494,2.166782,3.485521
1733987311.000000,0.249412,2.270832,3.432197
1733987312.000000,0.307787,2.296189,3.337296
1733987313.000000,0.317238,2.251372,3.242008
1733987314.000000,0.327869,2.180347,3.140781
1733987315.000000,0.322863,2.056381,3.003304
1733987316.000000,0.310351,2.043182,2.835941
1733987317.000000,0.257596,2.026368,2.735170
1733987318.000000,0.187936,2.039563,2.754083
1733987319.000000,0.132055,2.057832,2.787635
1733987320.000000,0.091180,2.110941,2.867239
1733987321.000000,0.055108,2.186116,2.866854
1733987322.000000,0.081985,2.491324,3.077299
1733987323.000000,0.120622,2.701381,3.358170
1733987324.000000,0.089607,2.654139,3.493997
1733987325.000000,0.078925,2.617760,3.530737
1733987326.000000,0.048664,2.593769,3.510186
1733987327.000000,0.039829,2.569986,3.495445
1733987328.000000,0.009312,2.554356,3.505573
1733987329.000000,-0.016591,2.538319,3.504725
1733987330.000000,-0.003330,2.592202,3.439822
1733987331.000000,0.030990,2.588585,3.387527
1733987332.000000,0.057679,2.585047,3.254893
1733987333.000000,0.090166,2.573303,3.130268
1733987334.000000,0.128176,2.527599,3.094413
1733987335.000000,0.166579,2.445523,3.082832
1733987336.000000,0.173413,2.355633,3.115365
1733987337.000000,0.210987,2.273900,3.124445
1733987338.000000,0.212583,2.205269,3.107320
