time,E,N,U
1733987044.000000,-0.235566,2.768889,-0.005492
1733987045.000000,-0.227308,2.744723,-0.287078
1733987046.000000,0.120779,1.891407,0.482761
1733987047.000000,-0.111696,1.806471,0.817615
1733987048.000000,-0.058356,1.676604,1.129957
1733987049.000000,-0.120430,1.610999,1.259425
1733987050.000000,0.036342,1.590273,0.956429
1733987051.000000,-0.058173,1.522254,1.105096
1733987052.000000,-0.020927,1.706285,0.642201
1733987053.000000,-0.020156,1.786627,0.452512
1733987054.000000,-0.160240,1.643478,0.753571
1733987055.000000,-0.043629,1.642447,0.651740
1733987056.000000,-0.014174,1.703294,0.530386
1733987057.000000,-0.019598,1.607737,0.473335
1733987058.000000,-0.003859,1.674937,0.600465
1733987059.000000,0.207367,2.109254,0.321416
1733987060.000000,0.284772,1.887804,0.387930
1733987061.000000,0.054172,1.838763,0.846432
1733987062.000000,-0.048939,1.635921,0.958994
1733987063.000000,-0.109243,1.488634,1.288583
1733987064.000000,-0.087852,1.537647,1.490636
1733987065.000000,-0.183116,1.629163,1.438647
1733987066.000000,-0.183598,1.785436,1.372395
1733987067.000000,-0.252449,1.784354,1.170519
1733987068.000000,-0.020592,1.884866,1.726881
1733987069.000000,-0.153141,1.620809,1.697178
1733987070.000000,-0.135761,1.690423,1.674762
1733987071.000000,-0.085971,2.068862,1.385876
1733987072.000000,0.060506,2.136748,1.314911
1733987073.000000,0.040027,2.250184,0.915720
1733987074.000000,0.050705,2.246274,0.702656
1733987075.000000,0.055185,1.813940,0.810210
1733987076.000000,0.051284,1.721838,0.808650
1733987077.000000,-0.037700,1.760846,1.037994
1733987078.000000,-0.068947,1.869841,0.988494
1733987079.000000,-0.115223,1.805710,1.041758
1733987080.000000,-0.181033,1.711588,0.745367
1733987081.000000,-0.247561,1.656008,0.963571
1733987082.000000,-0.238395,1.758357,0.975794
1733987083.000000,-0.169847,1.615015,1.281542
1733987084.000000,-0.283754,1.514127,1.470433
1733987085.000000,-0.486949,1.621518,1.133159
1733987086.000000,-0.368835,1.726160,0.426306
1733987087.000000,-0.143117,1.474558,0.243104
1733987088.000000,-0.180827,1.638348,0.432400
1733987089.000000,-0.144174,1.839797,0.375203
1733987090.000000,-0.251100,1.919250,0.075599
1733987091.000000,-0.255886,2.018213,0.727739
1733987092.000000,-0.216169,1.945660,0.752580
1733987093.000000,-0.279360,1.749471,0.797374
1733987094.000000,-0.074138,1.932321,0.519189
1733987095.000000,-0.044339,1.933090,1.079890
1733987096.000000,-0.088447,1.967249,1.079843
1733987097.000000,-0.057469,2.115812,1.364094
1733987098.000000,0.114434,2.126427,1.571169
1733987099.000000,0.407459,2.068729,1.632653
1733987100.000000,0.284824,2.019954,2.206073
1733987101.000000,0.294362,2.129664,2.078260
1733987102.000000,0.276430,1.994166,1.705513
1733987103.000000,0.382628,1.822004,2.043132
1733987104.000000,0.236407,1.962338,1.564239
1733987105.000000,0.220333,1.816308,1.695687
1733987106.000000,0.065170,1.885104,2.068287
1733987107.000000,0.309672,1.857458,2.058986
1733987108.000000,0.337745,2.121265,1.771460
1733987109.000000,0.195595,2.117655,1.718994
1733987110.000000,0.099135,2.064336,1.671536
1733987111.000000,0.097343,2.046491,2.165296
1733987112.000000,0.095994,2.047759,2.293693
1733987113.000000,0.086194,2.086860,2.623027
1733987114.000000,0.096636,1.905083,2.303073
1733987115.000000,0.178703,1.957053,1.846774
1733987116.000000,0.019431,1.837078,1.749769
1733987117.000000,0.079367,1.902829,1.752348
1733987118.000000,-0.133347,1.838955,1.798316
1733987119.000000,-0.176178,1.942363,1.333009
1733987120.000000,-0.186417,1.874476,2.033432
1733987121.000000,-0.346900,1.961076,2.315958
1733987122.000000,-0.499002,1.775226,2.422778
1733987123.000000,-0.302558,1.503729,2.122077
1733987124.000000,-0.172015,1.491953,1.452128
1733987125.000000,-0.274461,1.621292,1.284596
1733987126.000000,-0.229257,1.881082,1.288955
1733987127.000000,-0.279211,1.849701,1.435525
1733987128.000000,-0.208463,2.117891,1.496312
1733987129.000000,-0.267167,2.038751,1.574038
1733987130.000000,-0.304734,1.946811,1.061185
1733987131.000000,-0.351010,1.937796,1.012882
1733987132.000000,-0.573523,2.216269,1.019379
1733987133.000000,-0.318192,1.970325,1.094228
1733987134.000000,-0.315393,1.900298,1.012481
1733987135.000000,-0.295246,1.927554,1.254730
1733987136.000000,-0.259733,1.990656,0.886060
1733987137.000000,-0.255157,1.774092,1.213067
1733987138.000000,-0.420447,1.720473,1.088994
1733987139.000000,-0.636293,1.818064,0.746641
1733987140.000000,-0.592023,2.286493,2.370329
1733987141.000000,-0.659076,2.228337,0.478829
1733987142.000000,-0.766072,2.229921,-1.095634
1733987143.000000,-0.224385,18.291345,-30.675067
1733987144.000000,28.597940,3.809777,69.832956
1733987168.000000,-13.764030,-27.682234,17.998739
1733987169.000000,0.050224,2.474326,1.513951
1733987170.000000,-0.251476,1.656358,0.654631
1733987171.000000,0.498171,0.228859,4.236933
1733987172.000000,-0.056596,1.558025,3.439364
1733987173.000000,-1.003555,2.291675,0.992077
1733987174.000000,-0.206033,2.398200,0.685764
1733987175.000000,0.116365,2.032080,0.063743
1733987176.000000,0.007833,1.774321,1.447683
1733987177.000000,0.054999,1.695509,2.462244
1733987178.000000,-0.079769,1.872159,2.208299
1733987179.000000,-0.012712,1.934654,2.119695
1733987180.000000,0.066212,2.029789,2.286010
1733987181.000000,0.210064,1.877814,1.980636
1733987182.000000,0.146906,2.190682,1.224641
1733987183.000000,0.142697,2.106322,1.024749
1733987184.000000,-0.117403,2.139980,1.315551
1733987185.000000,-0.124041,1.675684,1.554442
1733987186.000000,-0.059449,1.626011,1.187491
1733987187.000000,0.045414,1.497944,1.604815
1733987188.000000,0.031914,1.653950,0.948350
1733987189.000000,0.071003,1.507726,0.830164
1733987190.000000,-0.046882,1.712155,0.892568
1733987191.000000,-0.030294,1.745428,0.787310
1733987192.000000,-0.052638,1.820756,1.013017
1733987193.000000,-0.055052,1.736616,1.357519
1733987194.000000,-0.022564,2.078319,2.185419
1733987195.000000,-0.008222,2.072973,1.895708
1733987196.000000,0.099800,2.032677,2.693706
1733987197.000000,0.163334,2.043879,1.686488
1733987198.000000,0.008484,1.922978,1.856190
1733987199.000000,0.112878,1.808089,1.547298
1733987200.000000,0.010521,1.914264,1.806493
1733987201.000000,0.029816,1.737877,1.895886
1733987202.000000,0.179243,1.747731,1.758668
1733987203.000000,0.114803,1.769429,1.245002
1733987204.000000,-0.036439,1.804135,0.908238
1733987205.000000,-0.162397,1.821774,0.856842
1733987206.000000,-0.066281,1.661574,0.654695
1733987207.000000,-0.087429,1.938552,0.336565
1733987208.000000,-0.101078,2.125396,0.459752
1733987209.000000,-0.070769,2.243685,0.643282
1733987210.000000,-0.077982,2.180502,0.733650
1733987211.000000,-0.284407,2.040856,0.559748
1733987212.000000,-0.312289,2.270163,0.819077
1733987213.000000,-0.109919,2.073495,1.150395
1733987214.000000,0.311225,1.675417,0.335233
1733987215.000000,0.144015,1.675914,-0.039100
1733987216.000000,0.118878,1.803564,-0.060874
1733987217.000000,0.135056,1.699375,-0.189329
1733987218.000000,0.015524,1.657633,0.035964
1733987219.000000,0.046228,1.615514,0.179950
1733987220.000000,-0.062287,1.376943,0.745846
1733987221.000000,-0.106616,1.505164,1.120682
1733987222.000000,-0.106629,1.555699,1.351410
1733987223.000000,-0.063538,1.455002,1.219957
1733987224.000000,-0.038080,1.536958,0.949197
1733987225.000000,-0.108792,1.595361,1.138004
1733987226.000000,-0.126017,1.587048,1.456809
1733987227.000000,-0.217380,1.537248,1.591456
1733987228.000000,-0.280413,1.688790,2.065164
1733987229.000000,-0.207062,1.845449,1.568433
1733987230.000000,0.048455,1.750924,1.916882
1733987231.000000,-0.267745,1.900532,1.613800
1733987232.000000,-0.346162,2.124821,0.586487
1733987233.000000,-0.392336,2.338510,0.595562
1733987234.000000,-0.252161,2.416916,0.496252
1733987235.000000,-0.360841,2.677824,0.623097
1733987236.000000,-0.354773,2.759356,0.657398
1733987237.000000,-0.388999,2.763105,0.676250
1733987238.000000,-0.342822,2.593905,0.584125
1733987239.000000,-0.376589,2.598413,0.611921
1733987240.000000,-0.214512,2.475755,0.302957
1733987241.000000,-0.013278,2.327714,0.525149
1733987242.000000,-0.019247,2.346414,0.101334
1733987243.000000,-0.167876,2.290530,-0.181647
1733987244.000000,-0.180512,2.167243,-0.287362
1733987245.000000,-0.063291,2.063457,-0.010126
1733987246.000000,-0.092024,2.232356,-0.048642
1733987247.000000,-0.142962,2.232004,-0.248271
1733987248.000000,-0.026703,2.295389,-0.546171
1733987249.000000,-0.022285,2.323483,-0.429905
1733987250.000000,0.037408,2.314329,-0.740940
1733987251.000000,-0.075580,2.254810,-0.970222
1733987252.000000,0.116687,2.449413,-0.965681
1733987253.000000,0.180706,2.351478,-1.187840
1733987254.000000,0.075867,2.333434,-1.698778
1733987255.000000,0.046987,2.287347,-1.478440
1733987256.000000,0.004459,2.408481,-1.309673
1733987257.000000,-0.036613,2.482593,-1.251007
1733987258.000000,0.097010,2.454806,-0.661351
1733987259.000000,0.133683,2.660646,-0.504562
1733987260.000000,0.330198,2.736150,-0.317633
1733987261.000000,0.448396,2.660770,-0.128899
1733987262.000000,0.416966,2.772677,0.380964
1733987263.000000,0.450430,2.567750,0.319329
1733987264.000000,0.420519,2.499883,0.061460
1733987265.000000,0.441515,2.491441,0.206925
1733987266.000000,0.416125,2.465198,0.268688
1733987267.000000,0.333067,2.411364,0.154734
1733987268.000000,0.503414,2.254118,0.153804
