epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
21,2206,379375.005068552,1334568175.00507,-2399703.99195694,5383204.04292155,2429701.44304247,22.5395176993484,114.026173000332,5.39110489994289,0.00884733412338145,-0.0151467146853783,0.00788693951293994,0.0192328391490122,1
22,2206,379375.505069509,1334568175.50507,-2399703.97650995,5383204.04703775,2429701.43105419,22.5395176081161,114.026172846885,5.3841730531679,0.0404422369856903,0.0223565248926647,-0.0394124262204223,0.0607349000020853,1
23,2206,379376.005070466,1334568176.00507,-2399703.96400755,5383204.05602454,2429701.42005306,22.5395175055682,114.026172700306,5.38283571828623,-0.000845843461022521,0.00488964826363756,0.0100902110664016,0.0112443973011977,1
24,2206,379376.505071423,1334568176.50507,-2399703.94363399,5383204.0607015,2429701.41277876,22.5395174588236,114.026172500897,5.37633122832718,0.0606552678716146,0.0134468817010087,-0.0271002154269976,0.0677812793051881,1
25,2206,379377.005072383,1334568177.00507,-2399703.92503033,5383204.06909851,2429701.40503804,22.539517393933,114.026172302479,5.37345173740879,-0.00536015228525751,0.0191201296945917,0.00749113930629244,0.0212232834444965,1
26,2206,379377.505073342,1334568177.50507,-2399703.90769016,5383204.06925701,2429701.40862608,22.5395174477969,114.026172147888,5.36843997965338,0.0538462043722693,-0.00771695827662949,0.00743893944695799,0.0549026683362379,1
27,2206,379378.005074302,1334568178.00507,-2399703.89205367,5383204.07214696,2429701.41305653,22.5395174976501,114.026171997612,5.36669604316035,-0.0102587230162698,0.0285708388057926,0.0114780259938675,0.0324542648770085,1
28,2206,379378.505075261,1334568178.50508,-2399703.88634054,5383204.07249823,2429701.4295092,22.539517641816,114.026171945495,5.37115057845622,0.0235837520330143,-0.0166539524977731,0.0426483421397761,0.0515017337671674,1
29,2206,379379.005076219,1334568179.00508,-2399703.87799498,5383204.06600478,2429701.44402436,22.5395177951724,114.026171897096,5.36809833147957,0.00119167358780309,0.0011899659656136,0.00513460290351613,0.0054037257439643,1
30,2206,379379.505077176,1334568179.50508,-2399703.87056813,5383204.07414057,2429701.45757538,22.5395178929406,114.026171798951,5.37736311045617,0.022270699966982,0.0221440811418976,0.0380353556530946,0.0493257811524123,1
31,2206,379380.005078135,1334568180.00508,-2399703.86196679,5383204.07894382,2429701.47102543,22.539518002058,114.026171703568,5.38333621985763,0.00684454118156675,-0.0105964186733984,0.00461246945921095,0.0134315563953052,1
32,2206,379380.505079089,1334568180.50508,-2399703.84855495,5383204.08851807,2429701.46032246,22.5395179014215,114.026171546588,5.38226674670426,0.0369047348308924,0.032926872682647,-0.0347202627326482,0.0604287600553069,1
