epoch,split,week,tow,time_gps_s,obs_count,obs_count_ls_gate,coarse_ok,coarse_iter,coarse_rx_x_m,coarse_rx_y_m,coarse_rx_z_m,coarse_cb_m,gt_lat_deg,gt_lon_deg,gt_h_m,speed_mps,is_static
91,train,2206,379428.00017016,1334568228.00017,19,19,1,2,-2399698.5532094897,5383206.5020310525,2429702.1020847713,-51029.048220803,22.5395106994271,114.026169403112,4.82213961161448,0.0198690445463836,1
92,train,2206,379429.000172075,1334568229.00017,19,19,1,2,-2399698.8547341656,5383206.532257222,2429702.1262783413,-51602.954320236684,22.5395108033266,114.026169598662,4.81528639021462,0.0178193223519528,1
93,train,2206,379430.000174032,1334568230.00017,19,19,1,2,-2399694.9752038936,5383202.668130975,2429702.641310204,-52185.5544905578,22.5395105030448,114.026169904078,4.75975515161708,0.0170438971485995,1
94,train,2206,379431.000175959,1334568231.00018,19,19,1,2,-2399694.190494097,5383200.789170257,2429700.632049694,-52765.47416749649,22.5395100982911,114.026170098767,4.71644201046954,0.0118762550477176,1
95,train,2206,379432.000177881,1334568232.00018,20,20,1,2,-2399696.4603252644,5383203.2116428865,2429699.7227813317,-53340.9069349194,22.5395097982703,114.026170102302,4.74431894708122,0.0151851688352094,1
96,train,2206,379433.000179795,1334568233.00018,20,20,1,2,-2399697.201651908,5383203.456962451,2429700.545356284,-53915.08739456858,22.539509505221,114.026170200506,4.78077062440022,0.00914738641633415,1
97,train,2206,379434.000181714,1334568234.00018,20,20,1,2,-2399697.045840687,5383203.027185598,2429700.4918251513,-54490.162192353135,22.5395089954782,114.026170202115,4.79416708014368,0.0138722842260083,1
98,train,2206,379435.00018363,1334568235.00018,20,20,1,2,-2399697.25653657,5383202.514071345,2429701.386352644,-55064.52274038538,22.5395084031691,114.026170098134,4.80090175275198,0.0135260048748701,1
99,train,2206,379436.000185545,1334568236.00019,20,20,1,2,-2399697.748254406,5383202.8651002385,2429702.3615425015,-55638.29112079509,22.5395077034845,114.02617019752,4.79975958966154,0.00575495272509097,1
100,train,2206,379437.000187459,1334568237.00019,20,20,1,2,-2399697.882465552,5383202.68331946,2429702.771131551,-56212.5481184121,22.5395078990572,114.026170303422,4.87801361437713,0.0273943246060802,1
101,train,2206,379438.000189377,1334568238.00019,20,20,1,2,-2399698.3295858037,5383201.94505147,2429703.870021961,-56787.014406873604,22.5395078979091,114.026170296797,4.94875865629295,0.0143167939752803,1
102,train,2206,379439.00019129,1334568239.00019,20,20,1,2,-2399698.7879791167,5383201.747109995,2429704.8327022926,-57361.07402162321,22.5395078988656,114.026170200848,5.06850464737068,0.0232610963663145,1
103,train,2206,379440.000193204,1334568240.00019,20,20,1,2,-2399699.3331411025,5383201.69617856,2429706.7598444214,-57934.536389876994,22.5395076014154,114.026169901958,5.13482813437647,0.0204672452173972,1
104,train,2206,379441.000195118,1334568241.0002,20,20,1,2,-2399699.942675211,5383202.434292656,2429708.798320726,-58507.42631824466,22.5395077020785,114.026169698493,5.2514502244184,0.0193019283024966,1
105,train,2206,379442.000197034,1334568242.0002,20,20,1,2,-2399700.0418709777,5383202.293196074,2429708.3382252813,-59082.150222380595,22.5395076971253,114.026169496311,5.33364463929562,0.0266558614913039,1
106,train,2206,379443.000198947,1334568243.0002,20,20,1,2,-2399700.3223123536,5383202.549773716,2429708.6882403363,-59656.12151361717,22.5395078037432,114.026169298091,5.41998138072102,0.0194218630957913,1
